#,categories,brands,products,publishedPosts,scheduledPosts,plan
3191,36,1,625,672,0,Pro
4857,86,1,202,11564,1204,Pro
1303,441,3036,27655,9504,72,Pro
2170,25,2,55,2448,24,Pro
2655,60,2,1398,936,0,Pro
3704,21,32,101,330,0,Pro
4482,34,1,532,232,0,Pro
4791,12,1,393,10300,700,Pro
1116,37,1,707,2680,130,Pro
2000,7,1,321,1944,300,Pro
486,1183,31,53801,1016,48,Pro
4790,43,1,1995,2385,0,Pro
1779,19,12,72,0,0,Pro
3241,58,2,811,1866,114,Pro
4854,64,1,2099,0,0,Pro
4038,8,2,92,660,0,Pro
719,28,1,108,12,0,Pro
2412,4,1,6,32,0,Pro
1473,29,95,235,24,0,Pro
3788,12,1,12,5,0,Pro
3560,34,1,5879,1565,70,Pro
4763,2,2,4,1680,0,Pro
3623,25,2,70,0,0,Pro
1887,44,1,1055,1000,0,Pro
1757,14,49,949,12,0,Pro
4254,1,5,0,0,0,Pro
2194,6,1,82,808,0,Pro
2556,1,4,65,9,0,Pro
3322,9,1,49,0,0,Pro
1916,23,1,324,630,0,Pro
1899,33,2,117,20990,2210,Pro
3846,1,2,5,0,0,Pro
4220,348,40,15871,12,0,Pro
1112,7,3,499,0,0,Pro
2768,22,1,377,1952,48,Pro
1832,9,13,141,81,0,Pro
2654,23,2,371,1045,0,Pro
4142,95,1,1354,0,0,Pro
3129,4,1,17,136,0,Pro
485,128,59,8847,0,0,Pro
2761,18,2,626,940,35,Pro
3503,12,1,17,0,0,Pro
1705,5,1,35,0,0,Pro
4577,1,1,1,1458,21,Pro
3745,22,1,115,3300,204,Pro
2792,11,3,226,1056,0,Pro
2530,6,2,7,3,0,Pro
1826,43,1,240,1716,0,Pro
2097,14,1,42,0,0,Pro
1905,6,18,440,135,0,Pro
4419,17,1,150,4316,156,Pro
2551,12,3,57,0,0,Pro
4154,7,2,84,18900,750,Pro
1250,14,1,571,2456,108,Pro
1293,1017,1,28781,2492,44,Pro
2633,727,699,19210,7304,132,Pro
3082,62,1,560,2436,0,Pro
359,22,3,41,0,0,Pro
3049,78,8,1040,5100,180,Pro
4756,38,1,5477,0,0,Pro
2759,16,81,3187,5135,182,Pro
3968,4,1,8,0,0,Pro
32,25,6,449,156,0,Pro
3319,6,1,24,8404,363,Pro
3302,6,4,34,0,0,Pro
4510,27,2023,23969,170,0,Pro
3350,14,1,36,867,0,Pro
4783,7,1,37,0,0,Pro
680,130,41,10306,0,0,Pro
3052,6,1,30,0,0,Pro
3662,6,1,130,0,0,Pro
1619,18,1,199,28,0,Pro
1706,4,1,27,0,0,Pro
4046,24,1,89,12,0,Pro
2081,13,2,467,0,0,Pro
4787,2,3,83,35,0,Pro
2910,82,1,810,3364,0,Pro
1819,35,1,18432,0,0,Pro
2671,7,1,22,406,0,Pro
1845,16,2,482,0,54,Pro
622,81,2,476,8580,0,Pro
2552,12,3,57,0,0,Pro
4172,4,2,80,0,0,Pro
3321,21,1,84,6,0,Pro
2217,68,30,88,395,0,Pro
613,20,1,310,0,0,Pro
4741,9,2,69,36,0,Pro
3233,7,1,14,340,0,Pro
1932,13,2,114,10688,0,Pro
2933,7,30,1386,558,16,Pro
1901,3,1,55,7368,228,Pro
4862,327,1,17583,2286,408,Pro
3819,5,1,32,856,20,Pro
2326,27,2,86,0,0,Pro
3340,6,1,114,9,0,Pro
2284,11,1,24,8,0,Pro
3918,2,1,118,228,28,Pro
4106,34,1,211,895,35,Pro
3933,21,2,105,4818,77,Pro
1263,5,1,106,3,0,Pro
1921,20,3,49,1000,0,Pro
2544,9,3,75,0,0,Pro
4778,3,1,8,2,0,Pro
4475,11,1,22,4,0,Pro
1758,9,49,506,0,0,Pro
4732,5,4,46,990,0,Pro
3186,11,2,9,0,0,Pro
4124,12,2,70,904,56,Pro
3672,9,1,6,0,0,Pro
2392,1,2,157,60,0,Pro
2980,40,3,665,249,0,Pro
872,,1,,0,0,Pro
3278,,1,,531,0,Pro
1855,12,1,1412,4416,324,Pro
1909,18,2,101,4266,63,Pro
2517,,1,,0,0,Pro
1772,,4,,168,0,Pro
4571,8,1,131,0,0,Pro
2524,66,1,4390,16830,0,Pro
2466,15,3,185,840,0,Pro
1184,66,1,273,26688,608,Pro
1577,315,14,1207,1755,0,Pro
2866,15,1,180,12,0,Pro
2525,33,1,359,47150,0,Pro
